Champion,G,PB%,B,G,By,W,L,WR,K,D,A,KDA,CS,CS/M,G,G/M,DMG,DMG/M,KPAR,KS,GS
Neeko,183,89.30%,160,23,10,16,7,69.60%,2.43,2.26,6.26,3.85,245.78,7.89,11.8,380,15.3k,490.8,60.80%,17%,20.10%
Vi,180,87.80%,136,44,11,24,20,54.50%,2.73,2.66,5.89,3.24,184.5,5.98,11,356,8.6k,279.3,68.20%,21.60%,18.90%
Sejuani,177,86.30%,97,80,13,39,41,48.80%,1.2,2.01,7.46,4.3,169.93,5.44,10.1,322,8.3k,265.1,77.30%,10.70%,17.70%
Renekton,162,79%,61,101,11,56,45,55.40%,1.99,2.4,4.13,2.55,272.61,8.82,12.4,400,13.7k,444.8,52.20%,17%,21.70%
Poppy,159,77.60%,109,50,16,27,23,54%,1.8,1.74,6.54,4.79,196.56,6.16,10.8,340,11.8k,370.9,68.80%,14.90%,18.60%
LeBlanc,150,73.20%,114,36,10,13,23,36.10%,2.56,2.14,4.53,3.31,316.08,10.06,13.7,437,23.2k,739.4,64.60%,23.30%,24.10%
Annie,145,70.70%,86,59,13,37,22,62.70%,1.83,1.93,7.02,4.58,244.83,7.89,11.5,371,15.8k,508.3,67.90%,14%,20%
Azir,144,70.20%,47,97,14,50,47,51.50%,2.91,2.32,4.69,3.28,295.14,9.35,13.1,415,20.1k,636.3,66%,25.30%,22.70%
Tristana,142,69.30%,86,56,16,32,24,57.10%,4.21,1.91,4.34,4.48,303.09,9.91,14,457,18.8k,613.3,70.90%,34.90%,24.60%
K'Sante,134,65.40%,58,76,14,29,47,38.20%,1.93,2.16,4.33,2.9,252.79,8.11,11.6,372,12.4k,399,61.10%,18.90%,20.90%
Jax,130,63.40%,52,78,12,40,38,51.30%,2.65,2.59,3.72,2.46,260.23,8.41,12.5,403,14.7k,475.5,51.60%,21.50%,21.80%
Kai'Sa,127,62%,40,87,12,48,39,55.20%,5.26,2.01,4.37,4.79,319.32,10.33,14.5,469,22.1k,715.1,72.90%,39.80%,24.90%
Aphelios,123,60%,27,96,12,47,49,49%,3.61,2.17,3.47,3.27,311.63,10.01,14,449,19.4k,622.6,71.40%,36.40%,25.20%
