,blueTeam,redTeam,winnerTeam,winnerSide,bluePlayerTop,bluePlayerJug,bluePlayerMid,bluePlayerBot,bluePlayerSup,redPlayerTop,redPlayerJug,redPlayerMid,redPlayerBot,redPlayerSup,blueChampTop,blueChampJug,blueChampMid,blueChampBot,blueChampSup,redChampTop,redChampJug,redChampMid,redChampBot,redChampSup
0,KT Rolster,DRX,KT Rolster,Blue,Kiin,Cuzz,Bdd,Aiming,Lehends,Rascal,Juhan,FATE__28-Yoo_Su_2d-hyeok_29-,Deokdam,BeryL,K'Sante,Vi,Veigar,Zeri,Lulu,Jayce,Sejuani,Yone,Xayah,Rell
1,KT Rolster,DRX,KT Rolster,Blue,Kiin,Cuzz,Bdd,Aiming,Lehends,Rascal,Juhan,FATE__28-Yoo_Su_2d-hyeok_29-,Deokdam,BeryL,Renekton,Sejuani,Veigar,Zeri,Lulu,Jax,Wukong,Taliyah,Xayah,Rakan
2,Nongshim RedForce,T1,T1,Red,DnDn,Sylvie,Callme,Vital,Peter__28-Jeong_Yoon_2d-su_29-,Zeus,Oner,Faker,Gumayusi,Keria,Maokai,Lee Sin,Ahri,Zeri,Lulu,Kennen,Wukong,Lissandra,Lucian,Nami
3,T1,Nongshim RedForce,T1,Blue,Zeus,Oner,Faker,Gumayusi,Keria,DnDn,Sylvie,Callme,Vital,Peter__28-Jeong_Yoon_2d-su_29-,Kennen,Wukong,Kassadin,Caitlyn,Lux,LeBlanc,Sejuani,Veigar,Lucian,Nami
4,Gen.G,Dplus KIA,Gen.G,Blue,Doran__28-Choi_Hyeon_2d-joon_29-,Peanut,Chovy,Peyz,Delight,Canna,Canyon,ShowMaker,Deft,Kellin,Jayce,Maokai,Yone,Ziggs,Leona,Kennen,Xin Zhao,LeBlanc,Sivir,Ashe
5,Gen.G,Dplus KIA,Gen.G,Blue,Doran__28-Choi_Hyeon_2d-joon_29-,Peanut,Chovy,Peyz,Delight,Canna,Canyon,ShowMaker,Deft,Kellin,Jayce,Maokai,Yone,Zeri,Rakan,Kennen,Lee Sin,LeBlanc,Jinx,Renata Glasc
6,Hanwha Life Esports,Liiv SANDBOX,Hanwha Life Esports,Blue,Kingen,Clid,Zeka__28-Kim_Geon_2d-woo_29-,Viper__28-Park_Do_2d-hyeon_29-,Life,Burdol,Willer,Clozer,Envyy,Kael__28-Kim_Jin_2d-hong_29-,Gragas,Vi,Ahri,Varus,Heimerdinger,Jayce,Lee Sin,Sylas,Samira,Rell
7,Liiv SANDBOX,Hanwha Life Esports,Liiv SANDBOX,Blue,Burdol,Willer,Clozer,Envyy,Kael__28-Kim_Jin_2d-hong_29-,Kingen,Clid,Zeka__28-Kim_Geon_2d-woo_29-,Viper__28-Park_Do_2d-hyeon_29-,Life,Jayce,Wukong,Ahri,Jinx,Thresh,Kennen,Lee Sin,Lissandra,Xayah,Rakan
8,Hanwha Life Esports,Liiv SANDBOX,Hanwha Life Esports,Blue,Kingen,Clid,Zeka__28-Kim_Geon_2d-woo_29-,Viper__28-Park_Do_2d-hyeon_29-,Life,Burdol,Willer,Clozer,Envyy,Kael__28-Kim_Jin_2d-hong_29-,K'Sante,Lee Sin,Veigar,Xayah,Rakan,Gnar,Viego,Taliyah,Zeri,Renata Glasc
9,BRION,Nongshim RedForce,Nongshim RedForce,Red,Morgan,UmTi,Karis,Hena,Effort,DnDn,Sylvie,Callme,Vital,Peter__28-Jeong_Yoon_2d-su_29-,Renekton,Lee Sin,Sylas,Zeri,Lulu,Darius,Viego,Veigar,Xayah,Rakan
10,BRION,Nongshim RedForce,Nongshim RedForce,Red,Morgan,UmTi,Karis,Hena,Effort,DnDn,Sylvie,Callme,Vital,Peter__28-Jeong_Yoon_2d-su_29-,Renekton,Viego,Veigar,Varus,Karma,K'Sante,Lee Sin,Taliyah,Zeri,Lulu
